,yelpid,name,lat,lng,distance miles,price rating,price value,review count,review rating,type,address1,city,state,zip
32,f5O7v_X_jCg2itqacRfxhg,Sansotei Ramen,43.655,-79.38643,1182.2040770646724,$$,2,814,4.0,Ramen,179 Dundas Street W,Toronto,ON,M5G 1Z8
33,Nq0UHjD_cKW9UbIJplQf_g,Pow Wow Cafe,43.65412,-79.40151,1116.4994074213048,$$,2,100,4.5,Canadian (New),213 Augusta Avenue,Toronto,ON,M5T 2L4
34,XYIPXJ9parr9FtvvcGI1SA,GB Hand-pulled Noodles,43.65669,-79.38385,1206.0378780457581,$$,2,461,4.0,Chinese,66 Edward Street,Toronto,ON,M5G 1C9
35,hnLvniU73W9Ni72Aym3A3g,Figs and Olives Kitchen,43.66484,-79.38607,805.3345025268113,NO $,0,24,4.5,Mediterranean,24 Wellesley Street W,Toronto,ON,M4Y 2X6
36,m3U4Pey_Yr0jgJb8MHfy5g,Rasta Pasta,43.6542328627147,-79.4004420356637,1075.3927857670672,$,1,285,4.0,Caribbean,61 Kensington Avenue,Toronto,ON,M5T
37,CN5nuUQod0f8g3oh99qq0w,KINKA IZAKAYA BLOOR,43.665157,-79.410658,1220.89307899638,$$,2,436,4.0,Japanese,559 Bloor St W,Toronto,ON,M5S 1Y6
38,5UgSHCX-V0iXagxUZ9LEXg,Her Chef,43.66457,-79.41292,1393.7846021115392,NO $,0,5,4.5,Asian Fusion,599 Bloor Street W,Toronto,ON,M6G 1K5
39,nrq5H3LZicjMG0wv7gy08g,Kintaro Izakaya,43.66417,-79.38006,1258.65556924875,$$,2,153,4.0,Japanese,459 Church Street,Toronto,ON,M4Y 4C5
40,7BoXrkEw-b98Wi1EaSH3HA,Tasty's Caribbean Restaurant,43.6567777,-79.3992574,777.0912216740285,$,1,62,4.5,Caribbean,405 Spadina Avenue,Toronto,ON,M5T 2G6
41,2cKAew-9iLS-mo-TtOgFiA,Raku,43.64831,-79.39944,1700.337048965614,NO $,0,8,5.0,Japanese,456 Queen St W,Toronto,ON,M5V 2A8
42,TqMTY6xTHThm0C7J1pJ7Aw,Pig Out BBQ,43.66317,-79.40253,552.1419565745794,$$,2,81,4.0,Barbeque,650 Spadina Avenue,Toronto,ON,M5S 2H7
43,I48hKUHApL2ae5yvq7w1eQ,Zaad,43.66672,-79.40455,811.518008034306,NO $,0,10,4.5,Middle Eastern,348 Bloor Street W,Toronto,ON,M5S 1W9
44,iAxsnFs3qq0Qx1EJ1S9SoQ,Koyoi Restaurant & Bar,43.6666786252858,-79.3854676187038,906.1575723598969,$$,2,125,4.0,Japanese,2 Irwin Avenue,Toronto,ON,M4Y 1K9
45,bzMO8LJmJtgo3KuyWGKUxA,Homemade Ramen,43.65241,-79.39739,1218.1207423750384,$,1,218,4.0,Chinese,263 Spadina Avenue,Toronto,ON,M5T 2E3
46,K_IfsWS_GfypdEvqeOMmeA,Papi Chulo's Mexicana,43.6467773358608,-79.4196403026581,2659.6914439409898,NO $,0,3,4.5,Mexican,121 Ossington Avenue,Toronto,ON,M6J 2Z2
47,Dkx_UjNhbXB-P0oyKqbTPA,Clubhouse Sandwich Shop,43.6582889,-79.3998991,649.1727401346278,$,1,95,4.0,Sandwiches,455 Spadina Avenue,Toronto,ON,M5S 2G7
48,siaRCT2-PkyeXUVKrywcTg,Niuda Hand-Pulled Noodles,43.65061,-79.38908,1513.795252549744,NO $,0,47,4.0,Chinese,204 Queen St W,Toronto,ON,M5V 1Z2
49,mzREMIknfmagJugibXrCsQ,Pho Tien Thanh,43.6455399,-79.41896,2720.3150360157524,$,1,368,4.0,Vietnamese,57 Ossington Avenue,Toronto,ON,M6J 2Y9
50,ABRgXNwdOX_JyqChNr8IYw,Swatow Restaurant,43.65385,-79.39796,1067.395453165813,$$,2,333,4.0,Chinese,309 Spadina Avenue,Toronto,ON,M5T 2E6
51,1CgVIMgnvGKdVkkAXQlsWg,Awastea,43.6538193680653,-79.3979744240642,1067.3071851107004,NO $,0,16,4.0,Tea Rooms,307 Spadina Avenue,Toronto,ON,M5T 2E6
52,_BAewGvIIzrNJtCzViIvSQ,Omai Restaurant,43.6561,-79.39234,839.8292964265862,$$,2,61,4.0,Japanese,3 Baldwin Street,Toronto,ON,M5T 1L1
53,aLcFhMe6DDJ430zelCpd2A,Khao San Road,43.64634,-79.39359,1883.8894359005756,$$,2,1471,4.0,Thai,11 Charlotte Street,Toronto,ON,M5V 2H5
54,k3fn9JFiNLNy2q5p0cE1kg,Carisma,43.65032,-79.37596,2148.202800116754,$$$,3,152,4.0,Italian,15 Toronto Street,Toronto,ON,M5C 2EC
