,Name,Compound Score,Negative Score,Neutral Score,Postive Score
188,Chadwick's,0.459534636,0.027085258,0.802889876,0.170007105
189,Charidise,0.460246466,0.026941696,0.802862191,0.170178445
190,Grey Gardens,0.461914411,0.026799649,0.802483304,0.170699473
191,Campechano Taquería,0.459294406,0.027166084,0.802515734,0.170300699
192,Emporium Latino,0.45838087,0.027133913,0.802843478,0.170005217
193,Si Lom Thai Bistro,0.456343426,0.027280277,0.803214533,0.169487889
194,Bar Reyna,0.45670327,0.027223752,0.803209983,0.169549053
195,Tachi,0.456129623,0.027083904,0.803827055,0.169071918
196,Jumbo Empanadas,0.455208518,0.027221465,0.803802385,0.168959114
197,Hogtown Vegan,0.454057288,0.027469492,0.803666102,0.168847458
198,Pasta Mondo,0.455861046,0.027330523,0.80339629,0.169256324
199,Rodney's Oyster House,0.456756208,0.02732047,0.803219799,0.169442953
200,Four Four South VIllage,0.456331386,0.027342237,0.803297162,0.169342237
201,Kid Lee,0.45784186,0.02720598,0.803114618,0.16966113
202,The Shozan Room,0.459463967,0.027190083,0.802089256,0.170700826
203,Saku Sushi,0.460508882,0.027055921,0.802088816,0.170835526
204,Fresca Pizza & Pasta,0.460954337,0.027201309,0.801708674,0.171070376
205,Hair of the Dog,0.461699349,0.027068404,0.801656352,0.1712557
206,Church's Chicken,0.462542532,0.026980519,0.801564935,0.171435065
207,The Poke Box,0.461483037,0.027184168,0.801657512,0.171138934
208,The Burger's Priest,0.459869936,0.027553055,0.801414791,0.171014469
209,Gyu-Kaku Japanese BBQ,0.46072784,0.0276464,0.8012496,0.1710848
210,Coq of the Walk,0.461544268,0.027514331,0.801377389,0.171089172
211,T-swirl Crêpe,0.461616323,0.027383518,0.80174168,0.170855784
212,illstyl3 Sammies,0.463293375,0.027253943,0.801339117,0.171388013
213,The Senator,0.463231711,0.027230769,0.801626374,0.171124019
214,Crimson Teas,0.463277969,0.027103125,0.801923438,0.170954688
215,Hemingway's Restaurant,0.46421353,0.027101089,0.801636081,0.171244168
216,Helena's Magic Kitchen,0.464390402,0.027065015,0.801357585,0.171558824
217,Sheherzade Persian Grill And Dizi,0.464248228,0.02707396,0.801402157,0.171505393
218,Buca Yorkville,0.464419632,0.026949387,0.801588957,0.171443252
219,Mallo,0.465349313,0.026825954,0.801320611,0.171835115
220,Kimama,0.465068845,0.026972644,0.80112462,0.171884498
221,Mamakas Taverna,0.466727383,0.026850227,0.800425113,0.172706505
222,East Thirty-Six,0.467215663,0.026728916,0.80063253,0.172620482
223,Farm'r Eatery & Catering,0.468262669,0.026608696,0.800413793,0.17295952
224,Salad House,0.466801194,0.026668657,0.800720896,0.172592537
225,The Irv Gastro Pub,0.4677263,0.026619614,0.800221397,0.173141159
226,Arisu Korean BBQ & Sushi,0.466947485,0.026681953,0.80037574,0.172926036
227,La Cubana,0.46767732,0.026771723,0.79981296,0.173400589
228,George,0.468894575,0.026653959,0.79966129,0.173670088
229,Marinellas Italian Restaurant,0.468730073,0.026537226,0.800039416,0.173408759
230,Baro,0.46968343,0.026505814,0.799959302,0.173520349
